,ID,trial,chooseDes,whichWorld,chooseTV,desWorld,whatIsDes,seqLength,desCount,desProp,RT.lev,RT.raw,RT.log,aniFlagCount,outcomeDesSeq,correct,desPropC,evidForChoice,undesCount,desDiff,diffForChoice,itemsForChoiceCount,chooseDes.m,desWorldC,chooseDesC,chooseDesF,desWorldF,RTq5,timingFlag,timingRelative
242,44,X3,1,1,1,1,tv,4,4,1,444,1911,7.555381944,0,1111,1,0.5,1,0,4,4,4,1,1,1,chose desirable,desirable fac.,"[7,2.1e+03]",FALSE,261
243,45,X3,1,1,0,0,ph,10,7,0.7,389,5112,8.539345996,0,1100011111,0,0.2,0.7,3,4,4,7,0,-1,1,chose desirable,undesirable fac.,"(4.98e+03,8.01e+03]",FALSE,162
244,46,X3,0,1,0,1,tv,22,9,0.409090909,1202,11860,9.380926673,2,1.11E+21,0,-0.090909091,0.590909091,13,-4,4,13,0,1,-1,chose undesirable,desirable fac.,"(8.01e+03,8.89e+04]",FALSE,310
245,47,X3,1,1,0,0,ph,13,7,0.538461538,799,6624,8.798454696,0,1.00E+12,0,0.038461538,0.538461538,6,1,1,7,0,-1,1,chose desirable,undesirable fac.,"(4.98e+03,8.01e+03]",FALSE,24
246,48,X3,0,0,0,0,tv,11,3,0.272727273,1970,5875,8.678461339,0,1001001000,1,-0.227272727,0.727272727,8,-5,5,8,1,-1,-1,chose undesirable,undesirable fac.,"(4.98e+03,8.01e+03]",FALSE,375
247,49,X3,0,1,1,0,ph,6,2,0.333333333,503,2961,7.993282328,0,100001,1,-0.166666667,0.666666667,4,-2,2,4,1,-1,-1,chose undesirable,undesirable fac.,"(2.1e+03,3.34e+03]",FALSE,211
248,50,X3,1,0,0,1,ph,39,21,0.538461538,3495,21146,9.959206041,0,1.00E+38,1,0.038461538,0.538461538,18,3,3,21,1,1,1,chose desirable,desirable fac.,"(8.01e+03,8.89e+04]",FALSE,246
249,51,X3,0,1,0,1,tv,14,7,0.5,644,7385,8.907206195,0,1.10E+13,0,0,0.5,7,0,0,7,0,1,-1,chose undesirable,desirable fac.,"(4.98e+03,8.01e+03]",FALSE,235
250,52,X3,0,0,0,0,tv,9,1,0.111111111,1218,4615,8.437067147,5,10000000,1,-0.388888889,0.888888889,8,-7,7,8,1,-1,-1,chose undesirable,undesirable fac.,"(3.34e+03,4.98e+03]",FALSE,215
251,53,X3,0,1,0,1,tv,14,7,0.5,281,7156,8.875706445,0,1.11E+12,0,0,0.5,7,0,0,7,0,1,-1,chose undesirable,desirable fac.,"(4.98e+03,8.01e+03]",FALSE,6
253,55,X3,1,0,1,0,tv,10,5,0.5,533,5119,8.540714386,0,100110110,0,0,0.5,5,0,0,5,0,-1,1,chose desirable,undesirable fac.,"(4.98e+03,8.01e+03]",FALSE,169
